originregion_name,destinationregion_name,origin_name,destination_name,countryflow_2016
NorthAmerica,NorthAmerica,Canada,Canada,0
NorthAmerica,NorthAmerica,Canada,United States,0
NorthAmerica,NorthAmerica,United States,Canada,4573
NorthAmerica,NorthAmerica,United States,United States,0
NorthAmerica,Africa,Canada,Burundi,0
NorthAmerica,Africa,Canada,Burkina Faso,0
NorthAmerica,Africa,Canada,Central African Republic,0
NorthAmerica,Africa,Canada,Ivory Coast,0
NorthAmerica,Africa,Canada,Cameroon,0
NorthAmerica,Africa,Canada,DR Congo,0
NorthAmerica,Africa,Canada,Algeria,0
NorthAmerica,Africa,Canada,Egypt,0
NorthAmerica,Africa,Canada,Eritrea,0
NorthAmerica,Africa,Canada,Western Sahara,0
NorthAmerica,Africa,Canada,Ethiopia,0
NorthAmerica,Africa,Canada,Kenya,0
NorthAmerica,Africa,Canada,Morocco,0
NorthAmerica,Africa,Canada,Mali,0
NorthAmerica,Africa,Canada,Mozambique,0
NorthAmerica,Africa,Canada,Mauritania,0
NorthAmerica,Africa,Canada,Niger,0
NorthAmerica,Africa,Canada,Nigeria,0
NorthAmerica,Africa,Canada,other Africa,0
NorthAmerica,Africa,Canada,Rwanda,0
NorthAmerica,Africa,Canada,Sudan,0
NorthAmerica,Africa,Canada,Somalia,0
NorthAmerica,Africa,Canada,South Sudan,0
NorthAmerica,Africa,Canada,Chad,0
NorthAmerica,Africa,Canada,Tanzania,0
NorthAmerica,Africa,Canada,Uganda,0
NorthAmerica,Africa,Canada,South Africa,0
NorthAmerica,Africa,Canada,Zimbabwe,0
NorthAmerica,Africa,United States,Burundi,0
NorthAmerica,Africa,United States,Burkina Faso,0
NorthAmerica,Africa,United States,Central African Republic,0
NorthAmerica,Africa,United States,Ivory Coast,0
NorthAmerica,Africa,United States,Cameroon,0
NorthAmerica,Africa,United States,DR Congo,0
NorthAmerica,Africa,United States,Algeria,0
NorthAmerica,Africa,United States,Egypt,0
NorthAmerica,Africa,United States,Eritrea,0
NorthAmerica,Africa,United States,Western Sahara,0
NorthAmerica,Africa,United States,Ethiopia,0
NorthAmerica,Africa,United States,Kenya,0
NorthAmerica,Africa,United States,Morocco,0
NorthAmerica,Africa,United States,Mali,0
NorthAmerica,Africa,United States,Mozambique,0
NorthAmerica,Africa,United States,Mauritania,0
NorthAmerica,Africa,United States,Niger,0
NorthAmerica,Africa,United States,Nigeria,0
NorthAmerica,Africa,United States,other Africa,0
NorthAmerica,Africa,United States,Rwanda,0
NorthAmerica,Africa,United States,Sudan,0
NorthAmerica,Africa,United States,Somalia,0
NorthAmerica,Africa,United States,South Sudan,0
NorthAmerica,Africa,United States,Chad,0
NorthAmerica,Africa,United States,Tanzania,0
NorthAmerica,Africa,United States,Uganda,0
NorthAmerica,Africa,United States,South Africa,0
NorthAmerica,Africa,United States,Zimbabwe,0
NorthAmerica,Europe,Canada,Albania,0
NorthAmerica,Europe,Canada,Austria,0
NorthAmerica,Europe,Canada,Belgium,0
NorthAmerica,Europe,Canada,Bulgaria,0
NorthAmerica,Europe,Canada,Bosnia Herzegovina,0
NorthAmerica,Europe,Canada,Switzerland,0
NorthAmerica,Europe,Canada,Czech Republic,0
NorthAmerica,Europe,Canada,Germany,0
NorthAmerica,Europe,Canada,Denmark,0
NorthAmerica,Europe,Canada,Spain,0
NorthAmerica,Europe,Canada,Finland,0
NorthAmerica,Europe,Canada,France,0
NorthAmerica,Europe,Canada,United Kingdom,0
NorthAmerica,Europe,Canada,Greece,0
NorthAmerica,Europe,Canada,Croatia,0
NorthAmerica,Europe,Canada,Hungary,0
NorthAmerica,Europe,Canada,other Europe,0
NorthAmerica,Europe,Canada,Italy,0
NorthAmerica,Europe,Canada,Macedonia,0
NorthAmerica,Europe,Canada,Malta,0
NorthAmerica,Europe,Canada,Montenegro,0
NorthAmerica,Europe,Canada,Netherlands,0
NorthAmerica,Europe,Canada,Norway,0
NorthAmerica,Europe,Canada,other Europe,0
NorthAmerica,Europe,Canada,Poland,0
NorthAmerica,Europe,Canada,Portugal,0
NorthAmerica,Europe,Canada,Romania,0
NorthAmerica,Europe,Canada,Serbia,0
NorthAmerica,Europe,Canada,Slovakia,0
NorthAmerica,Europe,Canada,Slovenia,0
NorthAmerica,Europe,Canada,Sweden,0
NorthAmerica,Europe,United States,Albania,0
NorthAmerica,Europe,United States,Austria,0
NorthAmerica,Europe,United States,Belgium,0
NorthAmerica,Europe,United States,Bulgaria,0
NorthAmerica,Europe,United States,Bosnia Herzegovina,0
NorthAmerica,Europe,United States,Switzerland,0
NorthAmerica,Europe,United States,Czech Republic,0
NorthAmerica,Europe,United States,Germany,0
NorthAmerica,Europe,United States,Denmark,0
NorthAmerica,Europe,United States,Spain,0
NorthAmerica,Europe,United States,Finland,0
NorthAmerica,Europe,United States,France,0
NorthAmerica,Europe,United States,United Kingdom,0
NorthAmerica,Europe,United States,Greece,0
NorthAmerica,Europe,United States,Croatia,0
NorthAmerica,Europe,United States,Hungary,0
NorthAmerica,Europe,United States,other Europe,0
NorthAmerica,Europe,United States,Italy,0
NorthAmerica,Europe,United States,Macedonia,0
NorthAmerica,Europe,United States,Malta,0
NorthAmerica,Europe,United States,Montenegro,0
NorthAmerica,Europe,United States,Netherlands,0
NorthAmerica,Europe,United States,Norway,0
NorthAmerica,Europe,United States,other Europe,0
NorthAmerica,Europe,United States,Poland,0
NorthAmerica,Europe,United States,Portugal,0
NorthAmerica,Europe,United States,Romania,0
NorthAmerica,Europe,United States,Serbia,0
NorthAmerica,Europe,United States,Slovakia,0
NorthAmerica,Europe,United States,Slovenia,0
NorthAmerica,Europe,United States,Sweden,0
NorthAmerica,FmrUSSR,Canada,Armenia,0
NorthAmerica,FmrUSSR,Canada,Azerbaijan,0
NorthAmerica,FmrUSSR,Canada,Belarus,0
NorthAmerica,FmrUSSR,Canada,Kazakhstan,0
NorthAmerica,FmrUSSR,Canada,other Fmr USSR,0
NorthAmerica,FmrUSSR,Canada,Russia,0
NorthAmerica,FmrUSSR,Canada,Ukraine,0
NorthAmerica,FmrUSSR,Canada,Uzbekistan,0
NorthAmerica,FmrUSSR,United States,Armenia,0
NorthAmerica,FmrUSSR,United States,Azerbaijan,0
NorthAmerica,FmrUSSR,United States,Belarus,0
NorthAmerica,FmrUSSR,United States,Kazakhstan,0
NorthAmerica,FmrUSSR,United States,other Fmr USSR,0
NorthAmerica,FmrUSSR,United States,Russia,0
NorthAmerica,FmrUSSR,United States,Ukraine,0
NorthAmerica,FmrUSSR,United States,Uzbekistan,0
NorthAmerica,WestAsia,Canada,United Arab Emirates,0
NorthAmerica,WestAsia,Canada,Bahrain,0
NorthAmerica,WestAsia,Canada,Iraq,0
NorthAmerica,WestAsia,Canada,Israel,0
NorthAmerica,WestAsia,Canada,Jordan,0
NorthAmerica,WestAsia,Canada,Lebanon,0
NorthAmerica,WestAsia,Canada,other West Asia,0
NorthAmerica,WestAsia,Canada,Palestina,0
NorthAmerica,WestAsia,Canada,Qatar,0
NorthAmerica,WestAsia,Canada,Saudi Arabia,0
NorthAmerica,WestAsia,Canada,Syria,0
NorthAmerica,WestAsia,Canada,Turkey,0
NorthAmerica,WestAsia,Canada,Yemen,0
NorthAmerica,WestAsia,United States,United Arab Emirates,0
NorthAmerica,WestAsia,United States,Bahrain,0
NorthAmerica,WestAsia,United States,Iraq,0
NorthAmerica,WestAsia,United States,Israel,0
NorthAmerica,WestAsia,United States,Jordan,0
NorthAmerica,WestAsia,United States,Lebanon,0
NorthAmerica,WestAsia,United States,other West Asia,0
NorthAmerica,WestAsia,United States,Palestina,0
NorthAmerica,WestAsia,United States,Qatar,0
NorthAmerica,WestAsia,United States,Saudi Arabia,0
NorthAmerica,WestAsia,United States,Syria,0
NorthAmerica,WestAsia,United States,Turkey,0
NorthAmerica,WestAsia,United States,Yemen,0
NorthAmerica,SouthAsia,Canada,Afghanistan,0
NorthAmerica,SouthAsia,Canada,Bangladesh,0
